LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 76 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 78- 81 HGTH   : Station elevation in meters
 83- 86 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 88- 95 BEGIN  : Begin date YYYYMMDD
 97-104 END    : End date YYYYMMDD
106-110 PARID  : Participant identifier
112-162 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,      LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
  890,102534,RUNGUE EMBALSE                          ,CL,-33:01:10,-70:54:29, 700, TG1,19770711,19931231,    8,DGA-WEB                                           
  898,102566,MELIPILLA                               ,CL,-33:40:49,-71:11:59, 168, TG1,19710603,19931231,    8,DGA-WEB                                           
  900,102574,LOS PANGUILES                           ,CL,-33:26:19,-71:01:32, 190, TG1,19801104,19931231,    8,DGA-WEB                                           
 1136,103522,RIO FUI EN DESAGE LAGO PIRIHUEICO       ,CL,-39:52:29,-71:53:23, 600, TG1,20030412,20050831,    8,DGA-WEB                                           
 1247,103966,LAGO DICKSON                            ,CL,-50:49:22,-73:06:45, 200, TG1,19990625,20050618,    8,DGA-WEB                                           
 1253,103990,RIO LAS CHINAS EN CERRO GUIDO           ,CL,-51:03:03,-72:31:01,  75, TG1,20041209,20050831,    8,DGA-WEB                                           
 1256,104002,TORRES DEL PAINE                        ,CL,-51:11:03,-72:58:01,  25, TG1,19760122,19931231,    8,DGA-WEB                                           
 1282,104106,PUNTA ARENAS                            ,CL,-53:07:24,-70:52:38,   5, TG1,19731116,20050831,    8,DGA-WEB                                           
 1286,104122,CANAL DE TRASVASE ESTERO LLAU-LLAU      ,CL,-53:07:30,-70:56:09,  80, TG1,20041213,20050831,    8,DGA-WEB                                           
 1292,104146,VILLA TEHUELCHE                         ,CL,-52:26:29,-71:24:08, 190, TG1,19930416,19931231,    8,DGA-WEB                                           
 1298,104170,BAHIA SAN FELIPE                        ,CL,-52:52:11,-69:55:55,  10, TG1,19870603,19931031,    8,DGA-WEB                                           
 1298,104354,SARITA EN BAHIA SAN FELIPE              ,CL,-52:52:03,-69:54:00,  15, TG1,19820522,19841228,    8,DGA-WEB                                           
